instruction,output
SWV가 RAP와 어떻게 연관되어 있습니까?,"SWV(간 탄성율)는 RAP(우심방 수압)과 연관되어 있으며, RAP이 증가하면 간 정맥압이 높아지고 간 탄성율이 증가합니다."
BAER 테스트의 결과가 청각 기능 평가의 금 표준으로 간주되는 이유는 무엇입니까?,BAER(뇌간 청각 유발 반응) 테스트는 주변 및 중심 청각 경로에 대한 청각적 자극에 대한 응답을 기반으로 하기 때문에 청각 기능 평가를 위한 금 표준 테스트입니다.
"말의 간질환이 발견되었을 때, 수의사는 일반적으로 어떤 진단을 내립니까?","말의 간질환이 의심되는 경우, 수의사는 일반적으로 GGT, AST, 그리고 GLDH 활동을 포함한 다양한 혈액 검사를 수행합니다."
조엘드론 산의 메커니즘은 무엇입니까?,조엘드론 산은 미세환경과 세포특이적 효과를 모두 사용하여 골절을 억제합니다. 조엘드론은 재흡수를 억제하여 뼈에서 암세포의 증식을 막습니다.
CECS의 증상은 무엇입니까?,"CECS의 증상은 갑작스럽고 일시적인 에피소드입니다. 이는 근육 경련, 강직, 비정상적인 보행, 다리 및 몸통의 비정상적인 움직임, 심지어 마비를 포함할 수 있습니다."
개에서 단백질뇨의 부정적인 예후 지표는 무엇입니까?,"개에서 단백질뇨는 만성 신장 질환(CKD)과 관련이 있으며, 혈중 요소질소 수치의 악화, 고혈압 위기, 그리고 죽음의 위험을 증가시킵니다."
TUS의 정확성을 평가하기 위해 베이즈 감수성 분석 프레임워크를 사용하는 이유는 무엇입니까?,"베이즈 감수성 분석 프레임워크를 사용하면 TUS의 정확성과 특이성에 대한 이해를 높일 수 있으며, 다양한 지리적 지역, 인구 통계 및 임계값 정의에 따른 감수성 변화를 평가할 수 있습니다."
고양이의 아크로메갈리에 대한 진단은 주로 어떤 임상적 발견에 기반을 두고 있나요?,"임상적 발견, 혈청 IGF-1 농도, 뇌하수체의 단면 영상"
말의 호흡기 질환과 피부 알레르기 사이의 관계에 대해 설명하세요.,"말의 호흡기 질환과 피부 알레르기는 서로 관련이 있으며, 동시에 발생할 수 있습니다. 이는 '전신성 알레르기' 또는 '위장알레르기 증후군'으로 알려져 있습니다."
GWAA 분석의 목적은 무엇입니까?,GWAA 분석의 목적은 스코틀랜드 데어하운드에서 DEPOH와 관련된 유전자(및 변이)를 식별하는 것입니다.
rabacfosadine 치료를 받은 개들의 전체 반응률(BORR)은 얼마였습니까?,73.2%
"개에서 꼬리뼈 증후군(cauda equina syndrome, CES)과 관련된 염증성 사이토카인의 표현은 무엇입니까?",TNF-알파와 IL-10.
소피아 세르다-곤잘레스(Sofia Cerda-Gonzalez)의 이메일 주소는 무엇입니까?,scerda-gonzalez@medvet.com
RSD 진단 평가에서 임상적으로 눈에 띄는 부분은 무엇입니까?,RSD 진단 평가는 임상적으로 눈에 띄는 부분이 없습니다.
"만약 말이 심장 박동 이상으로 인해 운동 중 갑자기 죽는다면, 어떤 심장 상태를 의심할 수 있을까요?","만약 말이 운동 중 갑자기 죽는다면, 심실 세동(Ventricular Fibrillation) 또는 심실 조동(Ventricular Tachycardia)을 의심해 볼 수 있습니다. 이러한 상태는 말의 심장 리듬에 심각한 문제를 일으킬 수 있으며 즉각적인 치료가 필요합니다."
의료적으로 치료받은 개들의 평균 연령은 얼마입니까?,의료적으로 치료받은 개들의 평균 연령은 46.2개월입니다.
말의 위장관 장애인 위충의 증상은 무엇입니까?,"위충의 증상은 피부 상태 악화, 식욕 저하, 구토, 발열 등이 포함될 수 있습니다."
말의 신생아 지방 저장 미오패시는 무엇으로 진단되었습니까?,신생아 말의 지방 저장 미오패시는 여러 아킬-CoA 탈수소효소 결핍증과 유사한 lipid myopathy로 진단되었습니다.
개에서 glioma의 MRI 특징은 무엇입니까?,"개에서 glioma는 일반적으로 T1-weighted iso- 및 T2-weighted iso-에서 hypointense mass lesions으로 나타지며, 다양한 정도의 조영 증강(CE)을 보입니다."
개에서 GBM 진단을 위해 어떤 기준을 사용합니까?,"개에서 GBM 진단은 복부 초음파를 사용하여 진단하며, 이는 서울 국립 대학 (SNU) 수의학 방사선과에서 이전에 설명한 기준에 따라 이루어집니다."
DOGiBAT에서 가장 높은 등급인 'severe'는 어떤 경우에 주어지나요?,DOGiBAT의 가장 높은 등급인 'severe'는 개에서 심각한 출혈이 일어날 때 주어집니다. 이는 주로 낮은 혈소판 수와 관련된 면역성 혈소판 감소증 (ITP)과 같은 상태에서 발생합니다.
개에서 염증성 장질환 (PLE)의 치료에 영양 섭취가 중요한 이유는 무엇입니까?,"영양 섭취는 개에서 염증성 장질환 (PLE)의 치료에 중요합니다. 영양 부족과 영양실조는 면역체계를 약화시키고, 장내 세균 이동을 증가시켜 PLE의 증상을 악화시킬 수 있습니다."
"고양이의 갑상선 기능 항진증 진단에 있어, TSH 농도 측정이 유용한 이유는 무엇인가요?","TSH 농도는 98%의 갑상선 기능 항진증 고양이에서 억제되어 있으므로, 진단에 도움이 되는 매우 민감한 검사입니다."
"개에서 만성 위장 장애의 징후가 있는 경우, 어떤 영양 보충제가 권장되지 않나요?",코발라민 또는 엽산 보충제
개에서 정중추신경병증 (OT)을 진단하는 데 사용되는 검사 방법은 무엇입니까?,의식 상태에서 수행되는 근전도 (EMG) 검사입니다.
개 심장의 왼쪽 심방(left atrium)의 세 가지 주요 기능은 무엇입니까?,"세 가지 주요 기능은 저장소, 관통, 부스터 펌프 기능입니다."
개들의 스트레스 수준을 평가하기 위해 연구에서 사용한 방법은 무엇입니까?, 연구에서는 개들의 스트레스 수준을 평가하기 위해 소변 코티솔-크레아틴 비율 (UCCr)을 사용했습니다.
이 연구에서 '건강한' 개를 정의하는 기준은 무엇입니까?,"지난 3개월 동안의 질병 부재, 만성 약물 복용 없음, 그리고 정상적인 신체 검사 결과."
이 문서에서 언급된 'fPLI'는 무엇을 의미합니까?,fPLI는 feline pancreatic lipase immunoreactivity(고양이 췌장 효소 면역반응)를 의미합니다.
개에서 granulocytic ana-plasmosis의 일반적인 임상 징후는 무엇입니까?,"pericardial effusion, 즉 심장 주변의 액체 축적입니다."
개 심장 건강을 평가하는 데 사용되는 '색-도플러 에초카드'는 무엇입니까?,색-도플러 초음파 검사에서 색상은 혈액의 흐름을 나타내고 도플러는 혈류의 방향과 속도를 측정합니다.
이 연구에서 Ehrlichia canis 감염을 확인하기 위해 어떤 두 가지 테스트가 사용되었습니까?,항체 테스트와 PCR(중합효소연쇄반응)
말의 혈장 글루코스 및 인슐린 농도를 측정하기 위해 어떤 절차가 사용되었습니까?,혈액을 채취하여 냉각된 EDTA 튜브에 옮겼습니다.
LEV가 인간에서 승인된 것은 언제입니까?,LEV는 1999년에 부분 발작을 동반한 뇌전증의 보조 치료제로 승인되었습니다.
고양이의 혈당 조절에 도움을 주는 약물인 글루카곤 유사 펩타이드-1(GLP-1) 아날로그인 엑세네타이드(exenatide)의 작용 기전은 무엇입니까?,"엑세네타이드는 GLP-1 수용체에 작용하여 인슐린 분비를 증가시키고, 글루카곤 분비를 억제하며, 포만감을 유도합니다."
ELU (External Laryngeal Ultrasound)가 EUAD (Equine Upper Airway Disease)를 조기에 감지하는 데 도움이 될 수 있습니까?,"예, ELU는 특히 재발성 후두 신경증 (RLN)의 미세한 사례를 포함하여 EUAD를 조기에 감지하는 유용한 방법입니다."
SDMA와 Cr의 상관관계는 무엇입니까?,"SDMA와 Cr는 강한 상관관계가 있습니다. LC-MS에서 R = .60, P < .001이고, IA에서는 R = .66, P < .001입니다."
심장 초음파 검사에서 'IVSd-M'은 무엇을 의미합니까?,IVSd-M은 2차원 심초음파 검사에서 좌심실 비대(LVH)를 진단하는 데 사용되는 좌심실 벽의 최대 두께를 의미합니다.
개에서 혈압과 단백질뇨를 조절하는 데 중요한 역할을 하는 것으로 알려진 eicosanoid 대사산물은 무엇입니까?,hydroxyeicosatetraenoic acid (HETE) 및 dihydroxyeicosatrienoic acid (DHET) isomer
말의 천식(equine asthma)은 어떤 특징을 가지고 있나요?,"말의 천식은 비감염성 염증성 폐질환으로, 세 가지 주요 특징이 있습니다: 1) 호흡 시 임상적 증상, 운동 중 호흡 곤란 또는 휴식 중에도 나타날 수 있는 노동된 호흡 2) histamine을 이용한 bronchoprovocative challenge test를 통해 확인할 수 있는 airway hyperresponsiveness (AWHR) 3) bronchoalveolar lavage (BAL) 검사를 통한 비감염성 염증."
개에서 심부전으로 인한 장내 미생물 불균형에 대한 연구는 어떤 상을 받았나요?,ACVIM Resident Research Award
개에서 고トリグリセリド혈症(HTG)의 중증도는 어떻게 분류됩니까?,"개에서 HTG의 중증도는 트리글리세리드 농도에 따라 다음과 같이 분류됩니다: 109-400 mg/dL (1.2-4.5 mmol/L)은 경증, 400 mg/dL (>4.5 mmol/L) 이상은 중등도에서 중증으로 분류됩니다."
심장 murmurs는 건강한 고양이에서 일반적으로 발견되는가?,"네, 심장 murmurs는 건강한 고양이에서 일반적으로 발견됩니다."
정상 체온으로 회복하는 데 걸리는 시간은 강제 공기와 따뜻한 물 중 어느 방법이 더 빠릅니까?,따뜻한 물
이 연구에서 심장 초음파 검사를 받은 개들의 연령 범위는 어떻게 됩니까?,개들의 연령 범위는 1세 이상이었습니다.
가축의 경련은 주로 어떤 원인에 의해 발생합니까?,반응성 또는 구조적 원인.
MMP-7이 CIPF의 진단과 예후를 예측하는 데 잠재적으로 유용한 마커가 될 수 있는 이유는 무엇입니까?,"MMP-7은 혈청에서 발견되는 마트릴리신(matrilysin)으로, MMP 계열의 멤버입니다. 이 연구에서는 CIPF 개에서 MMP-7의 발현이 증가함을 발견했습니다. MMP-7은 세포 외 기질(extracellular matrix)을 분해하는 효소로, 폐 섬유화 과정과 관련이 있을 수 있습니다. 따라서 혈청 MMP-7 수치가 CIPF의 진단과 예후를 예측하는 데 잠재적으로 사용될 수 있습니다."
다르포에틴 치료를 받은 개들의 평균 연령은 몇 살이었나요?,7.4년
다음 중 뇌척수액(CSF)의 정상 총 단백질 농도는 무엇입니까?,<30 mg/dL
고양이의 당뇨병과 관련된 환경 위험 요인은 무엇입니까?,"실내 생활, 식탐, 과체중은 고양이 당뇨병의 위험 요인입니다."
개에서 만성 간염의 원인이 되는 것으로 알려진 구리 농도에 대해 설명하세요.,"개에서 만성 간염의 원인은 높거나 비정상적인 간 구리 농도로 알려져 있습니다. 이 연구에서는 간 구리 농도가 400ppm 이상인 개를 'HiCu' 그룹, 400ppm 미만인 개를 'LoCu' 그룹으로 분류했습니다."
고양이의 증상은 무엇이었나요?,"고양이는 1년 동안 지속된 식욕 부진과 체중 감소, 구토와 설사를 겪었습니다."
고양이의甲状腺 호르몬 농도를 측정하기 위해 사용되는 검사 방법은 무엇입니까?,TT4 및 fT4 측정을 위한 혈청 검사
"영문 문단의 내용을 바탕으로, 다음 질문에 답하시오. 이 편지는 어떤 주제에 초점을 맞추고 있습니까?",이 편지는 '오버드진오스(과잉진단)'의 잠재적 영향과 위험에 대해 논의합니다.
개에서 포탈 고혈압(PH)의 주요 원인은 무엇입니까?,개에서 포탈 고혈압(PH)의 주요 원인은 만성 간염(CH)과 포탈 정맥의 원발성 저형성(PHPV)입니다.
고양이의 만성 위장병의 주요 차이점은 무엇입니까?,고양이의 만성 위장병의 주요 차이점은 염증성 장질환 (IBD)과 대장암입니다.
이 임상 시험의 주요 목적은 무엇입니까?,이 임상 시험의 주요 목적은 개에서 thoracolumbar intervertebral disk herniation (IVDH) 후 신경 보호를 개선하기 위한 메틸프레드니스톤의 효과를 평가하는 것입니다.
TK1와 c-CRP 수치가 잘 조절된 개와 나쁘게 조절된 개의 차이점은 무엇입니까?,TK1와 c-CRP 수치는 잘 조절된 개보다 나쁘게 조절된 개에서 유의미하게 낮았습니다.
"말의 혈중 질소 함량이 증가한 경우, 이는 무엇을 의미하며, 어떻게 치료해야 합니까?",혈중 질소 함량의 증가는 신장 기능 장애를 나타낼 수 있습니다. 적절한 수분 공급과 함께 신장 기능을 지원하는 약물을 투여하여 치료할 수 있습니다.
질문 1: 다음 중 flunixin meglumine의 과다복용을 치료하는 데 사용되는 방법은 무엇입니까?,intravenous administration of lipid emulsion (ILE) and membrane-based therapeutic plasma exchange (mTPE)
PLD4 단백질이 포유류 대사 경로에서 어떤 역할을 하는지 설명하세요.,"PLD4는 세포 내 트랜스막 글리코단백질으로, 포식작용(phagocytosis)에 잠재적인 기능을 가지고 있습니다. 또한, PLD4의 변형은 전신 경화증과 류마티스 관절염과 연관되어 있습니다."
이 연구의 특정 목표는 무엇이었습니까?,이 연구의 특정 목표는 위염의 변화와 위염의 잠재적 연관성을 조사하는 것이었습니다.
개에서 단백질:크레아티닌 비율(UPC)을 측정하는 이유는 무엇입니까?,단백질:크레아티닌 비율(UPC)은 개에서의 단백질뇨를 정량화하고 단백질뇨의 모니터링 및 치료에 대한 권장 사항을 안내하기 위해 사용됩니다.
고양이의 하기도 질환(FLAD) 진단에 있어서 방사선 사진이 중요한 이유는 무엇입니까?,"방사선 사진을 통해 FLAD의 진행 상황을 평가하고, 치료에 대한 반응을 확인할 수 있습니다."
개들의 삶의 질에 영향을 미치는 요인은 무엇입니까?,"개들의 삶의 질에 영향을 미치는 요인으로는 GI 질병의 징후, 최근 수술 여부, 화학요법 또는 방사선 치료의 병력, 거대세포 종양의 국소 거대 전이 또는 기타 심각한 전신 질환 등이 있습니다."
개에서 척수 아라치노이드 디버티쿨라(spinal arachnoid diverticula)의 치료에 대한 의료적 관리와 수술적 관리의 결과는 어떻게 다른가요?,"의료적으로 치료한 개들보다 수술적으로 치료한 개들이 더 젊은 나이에 치료를 받았으며, 수술적 치료가 의료적 관리보다 임상적 개선 가능성이 더 높았습니다."
서식지에서 가축을 돌보는 것은 어떤 측면에서 중요합니까?,"가축을 돌보는 것은 그들의 건강과 복지를 보장하고, 생산성을 극대화하며, 질병의 확산을 방지하는 등 여러 측면에서 중요합니다."
6MWT를 사용하여 개들의 운동 능력을 평가하는 것은 어떤 점이 한계일까요?,"6MWT는 개들의 운동 능력을 평가하는 유용한 방법이지만, 이 연구에서는 Pedometer readings가 genotype에 따라 의미 있게 다르지 않았기 때문에, 더 많은 개체수를 포함한 추가적인 연구가 필요합니다."
고양이의 당뇨병 치료에 사용되는 약인 베ξα글리플루진(bexagliflozin)의 작용 기전은 무엇입니까?,"베クサ글리플루진은 나트륨-당 수송체 2 (SGLT2) 억제제로, 당뇨병 고양이의 혈당 조절을 돕습니다."
EIT(전기임피던스 영상)이 말의 호흡 흐름 변화를 감지하는 데 성공적으로 사용될 수 있다고 결론 내린 연구의 주요 목적은 무엇입니까?,EIT가 히스타민 유도 천식과 약물 유도 기관확장 모두를 감지할 수 있는지 확인하는 것
개들의 신장 기능을 평가하기 위해 어떤 방법이 사용되었나요?,이 연구에서는 이오헤콜(iohexol) 명확화를 통해 개들의 신장 기능을 평가했습니다.
MMVD가 개에서 가장 흔한 심장 질환인 이유는 무엇입니까?,MMVD(myxomatous mitral valve disease)는 특정 품종의 개에서 5세 이상인 경우 75% 이상의 높은 유병률을 보이기 때문에 가장 흔한 심장 질환입니다.
MRI에서 양수 조영과 T2* 조영을 사용하는 이유는 무엇입니까?,"MRI에서 양수 조영(T1 weighted)과 T2* 조영은 각각 조직의 미세구조와 혈류를 시각화하는 데 사용됩니다. 양수 조영은 지방과 수분의 분포를 구별하는 데 도움이 되며, T2* 조영은 혈류와 산소 농도를 측정합니다."
심장 질환이 없는 고양이에서 진단된 심근증(HCM)의 임상적 증상은 무엇입니까?,"무증상, International Small Animal Cardiac Health Council stage 1b."
개에서 반복적인 파모티딘 투여가 intragastric pH에 미치는 영향은 무엇입니까?,"반복적인 파모티딘 투여는 개에서의 intragastric pH를 감소시켰습니다. 지속적인 파모티딘 투여는 intragastric pH, MPT ≥3 및 MPT ≥4를 유의미하게 감소시켰습니다(P < .0001). 이는 12일과 13일에 1.63의 평균 pH 감소를 초래했으며, MPT ≥3과 MPT ≥4는 각각 33%와 45% 감소했습니다."
개들의 운동 능력과 비타민 D의 관계는 무엇입니까?,"운동 선수인 개들의 비타민 D 상태를 조사한 연구는 없지만, 이 연구는 운동이 개와 인간의 혈중 25(OH)D3 농도에 영향을 미칠 수 있다는 중요한 정보를 제공합니다."
이 연구의 목적은 무엇인가요?,"이 연구의 목적은 다양한 단계의 MMVD를 가진 개에서 VLAS, VHS 및 RLAD의 정확성을 비교하고 LA 크기 확장을 식별하기 위한 수정된 VLAS 측정을 도입하는 것입니다."
SDMA가 개에서 신장 질환을 진단하는 데 신뢰할 수 있는 지표가 아닌 이유는 무엇입니까?,"SDMA 농도는 근육량에 따라 달라지며, 신장 기능과 상관없이 증가할 수 있습니다. 또한, SDMA는 고령의 수컷 개에서 잘못된 결과를 초래할 수 있습니다."
마지막 문장에서 언급된 저널의 이름은 무엇입니까?,Journal of Veterinary Internal Medicine
햄몬디아 헤이돈리(Hammondia heydorni)는 어떤 유형의 병원체입니까?,햄몬디아 헤이던리(Hammondia heydorni)는 기생충인 코크시디움(Coccidium)의 일종입니다.
D-dimer 농도와 TEG가 개에서의 뇌졸중 진단에 도움이 될 수 있습니까?,"아니요, D-dimer 농도나 TEG는 개에서의 뇌졸중 진단에 도움이 되지 않습니다."
ITPI의 정의는 무엇입니까?,"ITPI는 '면역 전달 실패'를 의미하며, 신생 자금에서 면역 글로불린 G(IgG) 농도가 <10 g/L일 때 정의됩니다."
NME(Necrotizing Meningoencephalitis)가 주로 발병하는 개 품종은 무엇입니까?,"NME는 주로 작은 품종의 개에서 발생하며, 몰티즈, 치와와, 요크셔 테리यर, 페키네즈, 프랑스 불독 등이 포함됩니다."
"체스트 물리치료(CP)는 무엇의 약자이며, 그 정의는 무엇입니까?",체스트 물리치료(Chest Physiotherapy)는 외부적으로 힘을 가하여 호흡을 돕고 점액의 배출을 개선하는 치료법입니다.
고양이의 식이요소에 대한 질문입니다. 다음 중 고양이의 phosphorus (P) 대사 및 homeostasis에 영향을 미치는 요인은 무엇입니까?,"고양이의 식이요소 중 phosphorus (P)의 소화율은 어떤 영양소에 따라 0%에서 최대 80%까지 달라지며, 이는 주로 phosphorus의 출처와 기타 식이 변수에 따라 달라집니다."
개에서 코시디오이дом이코시스 치료에 사용되는 일반적인 약물은 무엇입니까?,개에서 코시디오이डम이코시스 치료에 일반적으로 사용되는 약물은 플루코나졸 또는 이트라코나졸입니다.
VPE의 정도에는 어떤 요인이 영향을 미칩니까?,VPE의 정도는 정상적인 전도 속성과 역방향 AV 절의 전도 속성뿐만 아니라 항진성 AP와 역방향 AV 절의 전도 속성에 따라 달라집니다.
Bartonella spp.가 개에서 가장 자주 진단되는 질병은 무엇입니까?,"개에서 Bartonella spp. 감염은 주로 혈청학적 또는 PCR 검사를 통해 진단되며, 임상적으로 저절로 해결되는 경미한 증상에서부터 치명적인 심장내막염에 이르기까지 다양한 범위의 질병을 일으킬 수 있습니다."
반려견의 재발성 요로감염증(RUTI) 진단에 있어서 가장 중요한 세 가지 기준은 무엇입니까?,"재발성 요로감염증(RUTI) 진단을 위한 세 가지 주요 기준은 다음과 같습니다: 1) 피뇨세포수(>5 WBCs per high power field), 2) 배양 검사, 3) 항생제 치료 후 임상 증상의 호전."
저지방 식단이 미니 슈나우어의 혈중 트리글리세리드 수치에 어떤 영향을 미칩니까?,저지방 식단은 미니 슈나우어의 혈중 트리글리세리드 수치를 유의미하게 감소시켰습니다.
도キシруб신이 심독성을 일으키는 기전은 무엇인가?,도キシруб신은 심근세포의 DNA와 미토콘드리아에 직접적으로 손상을 주어 심독성을 일으킵니다.
"RID 테스트에서 IgG 농도가 1,000 mg/dL 미만인 경우 FTPI 양성 사례로 정의됩니다. RID 테스트의 감수성은 무엇으로 정의됩니까?","RID 테스트의 감수성은 serum IgG 농도가 1,000 mg/dL 미만인 경우 테스트가 양성인 비율로 정의됩니다."
이 연구는 어디에서 진행되었나요?,"이 연구는 미국 내 여러 대학의 수의학 대학원에서 진행되었습니다. 바이럴 인 비토 실험은 오번 대학교 수의학 대학원에서, 박테리아 인 비토 실험은 캘리포니아 대학교 데이비스 수의학 대학원에서, 그리고 인 비보 나트륨 아이오드 실험은 미주리 대학교 수의학 대학원에서 이루어졌습니다."
원문에서 저자들은 '체리피킹' 데이터에 대해 어떻게 주장합니까?,저자는 데이터 '체리피킹'을 거부하고 모든 결과를 기사나 보충 자료에 포함시킴으로써 연구의 투명성과 객관성을 보장합니다.
개에서 여러 가지 증상을 일으키는 악성 세포의 과도한 증식인 다발성 골수종은 어떤 방법으로 진단할 수 있습니까?,"개에서 다발성 골수종을 진단하기 위해서는 뼈 속 혈액세포를 관찰하는 골수 검사와 함께, 소변이나 혈액 검사, 방사선 검사 등을 통해 진단할 수 있습니다."
면역 매개 근위축증 (IMM)의 주요 증상은 무엇입니까?,"면역 매개 근위축증 (IMM)의 주요 증상은 심한 대퇴근과 횡격막 근육 위축, 고세린 키나아제 (CK) 및 아스파르트산 트랜스아민 (AST) 활동 증가입니다."
알파-토코페롤 결핍과 보충이 말의 골격근 섬유에 미치는 영향은 무엇입니까?,"알파-토코페롤 결핍은 말의 골격근 섬유의 퇴행과 미토콘드리아 이상을 초래하며, 알파-토코페롤 보충은 이러한 변화를 부분적으로 되돌립니다."
주요 출혈을 정의하는 기준은 무엇입니까?,주요 출혈은 절대 적혈구 감소증(PCVpre - PCVpost) 6%로 정의됩니다.
고양이의 신장 질환(CKD)과 백신 접종 간 잠재적인 연관성에 대해 이전 연구에서 발견한 것은 무엇입니까?,"이전 연구에서는 상업적으로 이용 가능한 백신을 피하 주사로 접종한 고양이에서 Crandell-Rees 고양이 신장(CRFK) 단백질과 신장 조직 항체가 생성되는 것을 발견했습니다. 또한, 피하 백신 접종 후 신장 생검 조직에서 간질 신염이 확인되었습니다."
코로나바이러스는 염소에게 어떤 영향을 미칩니까?,코로나바이러스는 염소에서 설사를 일으킬 수 있습니다.
말의 비만은 어떤 건강 문제를 야기할 수 있나요?,비만은 말에서 인슐린 이상과 laminitis를 포함한 여러 건강 문제와 관련이 있습니다.
개에서 급성 신장 손상의 장기간 결과에 대해 논의한 연구는 언제 수행되었습니까?,2015년부터 2021년까지
개에서 만성 심장 질환의 증상은 무엇입니까?,"개에서 만성 심장 질환의 증상으로는 호흡 곤란, 운동 내성 감소, 기침, 구토, 피로 등이 있습니다."
고양이의 간 효소 활동이 증가한 원인은 무엇입니까?,고양이의 간 효소 활동이 증가한 원인은 Copper-associated hepatopathy 또는 Wilson's disease일 수 있습니다.
개에서 간 질환을 진단하는 데 사용되는 세 가지 방법은 무엇입니까?,"개에서 간 질환을 진단하는 세 가지 방법은 간 조직 생검, 혈중 담즙산 측정, 그리고 간 기능 검사입니다."
가축 돼지에서 소화관 이물질(FB)이 발견되는 가장 흔한 원인은 무엇입니까?,무분별한 식습관
개에서 초음파 유도 생검의 합병증으로 인한 사망률은 얼마입니까?,"개에서 초음파 유도 생검의 주요 합병증은 출혈이며, 이는 사망에 이를 수 있습니다. 한 연구에서는 주요 합병증(개입이 필요한 경우)의 발생률이 18.5%인 것으로 나타났습니다."
OST를 수행하기 전에 말의 먹이를 금지하는 이유는 무엇입니까?,"말의 먹이를 금지하면 OST의 정확성을 높일 수 있습니다. 이 테스트는 혈당 및 인슐린 수치를 측정하며, 먹이를 금지하면 이러한 수치가 영향을 받지 않으므로 테스트 결과가 더 일관되고 정확해집니다."
말의 내분비 질환과 세균성 감염은 어떻게 laminitis를 유발합니까?,내분비 질환이나 세균성 감염으로 인한 인슐린 dysregulation와 hyperinsulinemia는 말에서 laminitis의 재발 위험을 증가시킵니다.
개의 위벽 두꺼워지는 증상은 무엇을 의미할 수 있나요?,"개의 위벽 두꺼워지는 증상은 여러 가지 원인에 의해 발생할 수 있습니다. 예를 들어, 위염, 위궤양, 또는 복부 질환 등이 원인일 수 있습니다."
고양이의 만성 위장병(CE) 진단에 사용되는 일반적인 방법은 무엇입니까?,만성 위장병(CE)을 진단하기 위해 검사하는 방법 중 하나는 조직 생검입니다.
MUO의 치료에 사용되는 약물 치료에는 어떤 것들이 있습니까?,"약물 치료에는 코르티코스테로이드, IV 사이토신 अरब노사이드, SC 사이토신 아랍노사이드 등이 포함됩니다."
간 효소 활동이 정상 범위 내에 도달한 것은 줄기 세포 치료 후 얼마나 걸렸습니까?,17주
고양이의 당뇨병(DM) 발병 위험이 높은 것으로 알려진 특정 고양이 품종은 무엇입니까?,"버마 고양이와 노르웨이 숲 고양이입니다. 버마 고양이는 영국, 유럽, 호주에서, 노르웨이 숲 고양이는 스웨덴에서 DM 발병 위험이 높은 것으로 조사되었습니다."
운동 장애의 특징은 무엇입니까?,비자발적인 운동으로 인한 의식 변화 없이 나타나는 운동 장애입니다.
체중과 비만도(BCS)가 개에서 장염의 중증도를 나타내는 데 도움이 될 수 있습니까?,"예, 체중과 비만도(BCS)는 개에서 장염의 중증도를 평가하는 데 도움이 될 수 있는 지표입니다."
MMVD의 가장 흔한 원인은 무엇입니까?,MMVD(Myxomatous mitral valve disease)는 개에서 심장 질환과 사망의 가장 흔한 원인입니다.
말 1의 경추 척수에서 작은 혈액 응고가 발견된 위치는 어디입니까?,"C1 신경근 바로 아래, 경추 척수의 등쪽 경막 아래"
"점심 시간 이후 첫 번째 발표자는 누구이며, 그들의 발표 주제는 무엇입니까?","점심 시간 이후 첫 번째 발표자는 Teresa DeFrancesco입니다. 그들의 발표 주제는 ""Point-of-Care Lung Ultrasound (VetBlue Protocol)를 이용한 Cardiogenic Pulmonary Edema의 진단""입니다."
다음 중 칼브의 수동 면역 전달(TPI)을 평가하기 위해 사용되는 테스트는 무엇입니까?,"터비도메트릭 면역 분석, 굴절률 측정법, 감마 글루타밀 전이효소 및 방사형 면역 확산"
이 연구에서 TCMCB07의 잠재적인 안전성과 효능을 평가하기 위해 사용한 개들의 수는 몇 마리입니까?,14마리입니다.
PPID가 말에게 미치는 영향은 무엇입니까?,PPID (Pituitary Pars Intermedia Dysfunction)는 말의 생식 능력에 부정적인 영향을 미칩니다. 이 연구에서는 PPID가 있는 말들의 생식 성공률이 다른 말들에 비해 현저히 낮다는 것을 발견했습니다.
Theiler's disease와 관련된 바이러스성 간염의 원인은 무엇입니까?,Theiler's disease는 equine parvovirus-hepatitis (EqPV-H)와 같은 바이러스성 간염과 관련이 있습니다.
이 케이스 보고서의 주제는 무엇입니까?,이 케이스 보고서는 유전적으로 확인된 선천적 저하선 기능 저하를 가진 프랑스 불독 강아지에 관한 것입니다.
"마그네슘과 보론이 말의 머리흔들기 행동에 미치는 영향을 평가한 연구에서, 가장 큰 감소 효과를 본 치료법은 무엇이었습니까?",마그네슘과 보론을 함께 투여한 경우
개에서 세균성 폐렴과 폐염을 구별하는 방법은 무엇입니까?,"개에서 세균성 폐렴과 폐염을 구별하기 위해서는 신체 검사, 3-view TXR(흉부 X-레이), LUS(폐 초음파), 및 혈청 CRP(C-반응성 단백질) 측정을 동시에 수행해야 합니다."
FSS 점수가 6 이상인 신생아 말의 생존 가능성에 영향을 미치는 주요 요인은 무엇입니까?,"FSS 점수가 6 이상인 신생아 말의 생존 가능성에 영향을 미치는 주요 요인은 조산, 차가운 사지, 2개 이상의 감염 또는 염증 부위, 혈중 포도당 농도 및 총 백혈구 수치입니다."
USGHR (ultrasound-guided hydrostatic reduction)은 어떤 유형의 intussusception를 교정하기 위해 사용됩니까?,USGHR (ultrasound-guided hydrostatic reduction)은 ileo-colic intussusception를 교정하는 데 사용됩니다.
"개에서 심실성 빈맥(ventricular tachycardia)은 어떤 유형의 개에서 더 흔합니까? 큰 개인지, 작은 개인지?",큰 개
Heterobilharzia americana 감염의 주요 증상은 무엇입니까?,"디지털, 구토 및 체중 감소는 Heterobilharzia americana 감염의 주요 증상입니다."
